molecular_weight,alogp,topological_polar_surface_area,hydrogen_bond_donors,hydrogen_bond_acceptors,MolWt_rdkit,LogP_rdkit,TPSA_rdkit,HDonors_rdkit,HAcceptors_rdkit,RotBonds_rdkit,Lipinski_violations,Lipinski_pass,Veber_pass,Triage_label
236.22,1.0,76.74,1,5,236.223,0.9973999999999998,76.74000000000001,1.0,5.0,1.0,0,True,True,High-priority
236.27,2.68,63.6,1,3,236.267,2.6846200000000007,63.60000000000001,1.0,3.0,5.0,0,True,True,High-priority
236.31,1.89,54.37,1,3,236.31099999999995,1.8895,54.37,1.0,3.0,1.0,0,True,True,High-priority
236.35,2.81,40.46,2,2,236.355,2.810900000000001,40.46,2.0,2.0,0.0,0,True,True,High-priority
237.3,0.99,47.36,0,5,237.303,0.9934999999999996,47.36,0.0,4.0,2.0,0,True,True,High-priority
238.24,1.81,64.99,1,4,238.239,1.8102,64.99000000000001,1.0,4.0,5.0,0,True,True,High-priority
238.37,2.72,40.46,2,2,238.37099999999995,2.7247000000000017,40.46,2.0,2.0,0.0,0,True,True,High-priority
238.37,2.89,40.46,2,2,238.37099999999995,2.892400000000001,40.46,2.0,2.0,2.0,0,True,True,High-priority
238.37,3.06,40.46,2,2,238.37099999999995,3.056900000000002,40.46,2.0,2.0,1.0,0,True,True,High-priority
238.37,2.89,40.46,2,2,238.371,2.8924000000000016,40.46,2.0,2.0,4.0,0,True,True,High-priority
238.37,2.89,40.46,2,2,238.371,2.8908000000000014,40.46,2.0,2.0,1.0,0,True,True,High-priority
238.37,2.58,40.46,2,2,238.371,2.5806000000000013,40.46,2.0,2.0,0.0,0,True,True,High-priority
239.31,2.27,66.4,2,2,239.315,2.2684000000000006,66.4,2.0,2.0,8.0,0,True,True,High-priority
239.36,2.96,29.54,0,2,239.35899999999995,2.963800000000001,29.540000000000003,0.0,2.0,5.0,0,True,True,High-priority
239.45,5.0,3.24,0,1,239.447,4.999900000000005,3.24,0.0,1.0,8.0,0,True,True,High-priority
240.26,3.63,39.44,0,3,240.258,3.632620000000002,39.44,0.0,3.0,1.0,0,True,True,High-priority
240.3,3.87,18.46,0,2,240.302,3.8742000000000023,18.46,0.0,2.0,4.0,0,True,True,High-priority
240.31,-0.81,126.64,4,6,240.306,-0.8083999999999993,126.64,4.0,6.0,7.0,0,True,True,High-priority
241.29,3.02,42.09,1,2,241.29,3.0207200000000016,42.09,1.0,2.0,0.0,0,True,True,High-priority
242.31,1.98,63.6,1,4,242.315,1.9841,63.60000000000001,1.0,4.0,0.0,0,True,True,High-priority
242.32,2.57,29.46,1,2,242.318,2.569200000000001,29.46,1.0,2.0,2.0,0,True,True,High-priority
242.32,3.45,41.99,1,2,242.322,3.4541200000000023,41.99,1.0,2.0,3.0,0,True,True,High-priority
242.32,2.07,62.04,3,2,242.322,2.0735,62.040000000000006,3.0,2.0,2.0,0,True,True,High-priority
243.44,3.77,18.46,0,2,243.44299999999996,3.7737000000000025,18.46,0.0,2.0,3.0,0,True,True,High-priority
244.25,2.34,66.76,2,4,244.246,2.337400000000001,66.76,2.0,4.0,3.0,0,True,True,High-priority
244.34,1.82,25.24,0,3,244.33799999999997,1.8199,25.24,0.0,2.0,0.0,0,True,True,High-priority
244.39,1.9,41.13,2,3,244.385,1.9047,41.13,2.0,3.0,4.0,0,True,True,High-priority
245.12,2.1,34.14,0,2,245.116,2.0982000000000003,34.14,0.0,2.0,0.0,0,True,True,High-priority
248.32,2.5,43.37,0,3,248.32199999999995,2.499500000000001,43.370000000000005,0.0,3.0,0.0,0,True,True,High-priority
248.32,3.93,57.53,2,2,248.322,3.929900000000004,57.53,2.0,2.0,6.0,0,True,True,High-priority
248.32,2.52,46.53,1,3,248.322,2.5216000000000003,46.53,1.0,3.0,0.0,0,True,True,High-priority
248.37,3.28,29.46,1,2,248.366,3.278400000000002,29.46,1.0,2.0,0.0,0,True,True,High-priority
248.41,4.96,20.23,1,1,248.41000000000005,4.9626000000000055,20.23,1.0,1.0,8.0,0,True,True,High-priority
249.27,2.9,58.9,1,4,249.273,2.900800000000001,58.900000000000006,1.0,4.0,2.0,0,True,True,High-priority
250.21,0.68,96.97,2,6,250.206,0.6821999999999999,96.97,2.0,6.0,3.0,0,True,True,High-priority
250.29,1.54,63.6,1,4,250.29399999999995,1.5360999999999998,63.6,1.0,4.0,1.0,0,True,True,High-priority
250.32,1.86,41.52,0,3,250.31899999999996,1.859,41.52,0.0,3.0,1.0,0,True,True,High-priority
250.34,1.96,41.99,1,3,250.3379999999999,1.9586,41.99,1.0,3.0,0.0,0,True,True,High-priority
250.34,1.68,57.53,2,3,250.33799999999997,1.6813,57.53,2.0,3.0,1.0,0,True,True,High-priority
250.34,2.54,49.83,1,3,250.33799999999997,2.5421000000000005,49.83,1.0,3.0,1.0,0,True,True,High-priority
250.34,2.09,49.83,1,3,250.338,2.0862,49.83,1.0,3.0,1.0,0,True,True,High-priority
250.34,3.26,46.53,1,3,250.338,3.2609000000000017,46.53,1.0,3.0,6.0,0,True,True,High-priority
250.34,2.29,46.53,1,3,250.338,2.291300000000001,46.53,1.0,3.0,0.0,0,True,True,High-priority
250.68,0.64,72.83,1,5,250.678,0.6387,72.83000000000001,1.0,5.0,7.0,0,True,True,High-priority
251.28,2.34,75.63,2,3,251.282,2.3370000000000006,75.63,2.0,3.0,3.0,0,True,True,High-priority
251.35,3.2,8.29,0,1,251.35300000000004,3.2003600000000016,8.29,0.0,0.0,2.0,0,True,True,High-priority
252.31,-0.31,66.38,1,6,252.307,-0.3148999999999993,66.38000000000001,1.0,6.0,10.0,0,True,True,High-priority
252.31,3.82,26.3,0,2,252.313,3.8248000000000015,26.3,0.0,2.0,4.0,0,True,True,High-priority
253.35,0.61,36.02,0,3,253.34599999999992,0.6071000000000004,36.02,0.0,3.0,4.0,0,True,True,High-priority
254.24,1.46,104.06,3,5,254.238,1.4623199999999998,104.06000000000002,3.0,5.0,5.0,0,True,True,High-priority
254.25,2.81,79.38,2,5,254.245,2.8148000000000013,79.38000000000001,2.0,5.0,2.0,0,True,True,High-priority
254.28,3.72,38.69,1,3,254.285,3.7158000000000015,38.69,1.0,3.0,2.0,0,True,True,High-priority
254.29,2.74,51.22,1,3,254.289,2.7421000000000006,51.22,1.0,3.0,4.0,0,True,True,High-priority
254.37,2.1,52.99,2,3,254.36999999999995,2.1020000000000008,52.99,2.0,3.0,1.0,0,True,True,High-priority
256.26,2.55,67.51,1,4,256.257,2.553000000000001,67.51,1.0,4.0,1.0,0,True,True,High-priority
256.3,3.18,38.69,1,3,256.301,3.1750000000000007,38.69,1.0,3.0,2.0,0,True,True,High-priority
256.34,1.94,66.76,2,4,256.342,1.9404,66.76,2.0,4.0,0.0,0,True,True,High-priority
256.39,1.94,60.69,3,3,256.386,1.9415,60.69,3.0,3.0,1.0,0,True,True,High-priority
256.39,4.28,17.07,0,1,256.38899999999995,4.279100000000004,17.07,0.0,1.0,5.0,0,True,True,High-priority
258.23,2.37,79.9,2,5,258.229,2.3660000000000005,79.9,2.0,5.0,1.0,0,True,True,High-priority
258.32,2.88,51.21,0,3,258.31699999999995,2.882600000000001,51.21,0.0,3.0,5.0,0,True,True,High-priority
258.36,2.59,66.76,2,3,258.35799999999995,2.586000000000001,66.76,2.0,3.0,4.0,0,True,True,High-priority
259.26,-1.73,123.17,4,7,259.258,-1.7272200000000006,123.17000000000002,4.0,7.0,4.0,0,True,True,High-priority
259.35,2.73,71.93,1,4,259.353,2.729380000000001,71.92999999999999,1.0,4.0,3.0,0,True,True,High-priority
259.39,3.17,23.47,1,2,259.39300000000003,3.169500000000002,23.47,1.0,2.0,2.0,0,True,True,High-priority
260.42,4.31,20.23,1,1,260.421,4.312420000000004,20.23,1.0,1.0,3.0,0,True,True,High-priority
262.26,1.36,79.9,2,5,262.261,1.3582999999999998,79.9,2.0,5.0,1.0,0,True,True,High-priority
262.31,3.26,67.51,1,3,262.305,3.2581000000000016,67.51,1.0,3.0,1.0,0,True,True,High-priority
262.35,3.36,35.53,0,3,262.34899999999993,3.3588000000000022,35.53,0.0,3.0,1.0,0,True,True,High-priority
262.35,3.76,46.53,1,3,262.349,3.7638000000000025,46.53,1.0,3.0,2.0,0,True,True,High-priority
262.35,3.92,65.18,2,2,262.35300000000007,3.917100000000002,65.18,2.0,2.0,3.0,0,True,True,High-priority
